Date,Open,High,Low,Close
07/14/2021,"32,519","33,066","31,628","32,811"
07/13/2021,"32,833","33,315","32,239","32,519"
07/12/2021,"33,859","34,611","32,660","32,833"
07/11/2021,"33,329","34,077","33,279","33,859"
07/10/2021,"33,508","34,229","33,098","33,329"
07/09/2021,"32,788","33,667","32,302","33,508"
07/08/2021,"34,550","34,550","32,142","32,788"
07/07/2021,"33,941","35,040","33,724","34,550"
07/06/2021,"33,847","35,058","33,601","33,941"
07/05/2021,"35,542","35,945","33,171","33,847"
07/04/2021,"34,715","35,679","34,297","35,542"
07/03/2021,"33,124","34,926","33,106","34,715"
07/02/2021,"33,411","33,955","32,747","33,124"
07/01/2021,"34,585","35,203","32,819","33,411"
06/30/2021,"36,156","36,301","34,075","34,585"
06/29/2021,"34,682","36,548","34,142","36,156"
06/28/2021,"32,648","35,224","32,493","34,721"
06/27/2021,"31,315","33,555","30,968","32,648"
06/26/2021,"32,212","32,638","30,190","31,329"
06/25/2021,"34,858","35,496","31,508","32,212"
06/24/2021,"33,066","35,228","32,364","34,857"
06/23/2021,"32,895","34,789","31,772","33,066"
06/22/2021,"32,622","33,240","29,002","32,895"
06/21/2021,"35,853","35,905","31,822","32,622"
06/20/2021,"36,193","36,193","33,400","35,853"
06/19/2021,"35,493","36,396","34,888","36,193"
06/18/2021,"37,752","38,186","35,204","35,493"
06/17/2021,"38,550","39,510","37,448","37,752"
06/16/2021,"39,943","40,473","38,364","38,550"
06/15/2021,"39,836","41,289","39,612","39,949"
06/14/2021,"40,926","40,926","39,382","39,809"
06/13/2021,"36,041","38,830","34,982","38,830"
06/12/2021,"37,331","37,342","35,509","36,041"
06/11/2021,"36,410","37,537","36,217","37,331"
06/10/2021,"36,387","38,389","35,850","36,410"
06/09/2021,"33,625","36,825","32,466","36,406"
06/08/2021,"34,454","34,630","31,101","33,638"
06/07/2021,"35,938","36,767","34,155","34,471"
06/06/2021,"35,857","36,454","34,874","35,897"
06/05/2021,"37,071","37,942","35,396","35,826"
06/04/2021,"38,691","39,277","35,626","37,071"
06/03/2021,"37,739","39,469","37,249","38,693"
06/02/2021,"36,313","38,213","35,976","37,739"
06/01/2021,"36,677","37,852","35,792","36,330"
05/31/2021,"36,080","37,465","34,230","36,677"
05/30/2021,"34,266","36,354","33,554","36,115"
05/29/2021,"35,260","37,236","33,687","34,266"
05/28/2021,"38,476","39,189","35,201","35,245"
05/27/2021,"38,756","40,401","37,266","38,476"
05/26/2021,"37,656","40,859","37,526","38,731"
05/25/2021,"39,067","39,845","36,553","37,656"
05/24/2021,"33,791","39,831","33,715","38,999"
05/23/2021,"38,093","38,397","31,228","33,791"
05/22/2021,"35,250","38,800","33,623","38,086"
05/21/2021,"40,108","42,124","35,263","35,263"
05/20/2021,"38,468","42,569","35,132","40,108"
05/19/2021,"43,367","43,569","30,445","38,390"
05/18/2021,"44,853","45,816","42,539","43,318"
05/17/2021,"44,062","46,552","42,162","44,843"
05/16/2021,"48,266","49,812","43,893","44,062"
05/15/2021,"49,351","50,661","47,128","48,255"
05/14/2021,"49,253","51,543","48,528","49,351"
05/13/2021,"54,540","54,820","46,710","49,253"
05/12/2021,"56,942","57,977","53,646","54,540"
05/11/2021,"55,328","56,949","54,612","56,942"
05/10/2021,"58,001","59,552","54,000","55,328"
05/09/2021,"59,014","59,318","56,530","57,982"
05/08/2021,"57,713","59,556","56,915","59,014"
05/07/2021,"55,987","58,683","55,350","57,699"
05/06/2021,"56,863","58,334","55,427","55,987"
05/05/2021,"54,842","57,909","53,058","56,854"
05/04/2021,"56,821","57,465","53,330","54,842"
05/03/2021,"57,016","58,973","56,306","56,826"
05/02/2021,"57,685","57,948","56,130","57,016"
05/01/2021,"56,812","58,459","56,726","57,700"
04/30/2021,"52,991","57,295","52,871","56,803"
04/29/2021,"54,456","55,191","52,408","53,006"
04/28/2021,"55,180","56,369","53,913","54,456"
04/27/2021,"53,297","55,289","52,689","55,067"
04/26/2021,"48,065","54,363","47,110","53,297"
04/25/2021,"50,955","51,113","48,075","48,075"
04/24/2021,"50,556","51,215","48,821","50,955"
04/23/2021,"51,597","52,220","47,657","50,620"
04/22/2021,"55,029","55,410","51,515","51,843"
04/21/2021,"56,781","57,079","54,346","55,029"
04/20/2021,"56,175","57,035","53,463","56,852"
04/19/2021,"56,231","57,554","54,305","56,175"
04/18/2021,"60,843","60,966","51,907","56,239"
04/17/2021,"61,977","62,490","59,747","60,843"
04/16/2021,"63,381","63,769","60,081","61,962"
04/15/2021,"62,403","63,649","62,034","63,381"
04/14/2021,"63,196","64,788","61,368","62,357"
